"index","Requirement","Format","Terms","Description"
"sample_name","M","{text}",,
"taxon_id","M","{integer}",,
"scientific_name","M","{text}",,
"host_subject_id","M","{text}",,
"description","M","{text}",,
"physical_specimen_location","M","{text}",,
"physical_specimen_remaining","M","{boolean}",,
"collection_timestamp","M","yyyy-mm-dd hh:mm",,
"latitude","M","{decimal degrees}",,
"longitude","M","{decimal degrees}",,
"investigation_type","M","{term}","metagenome",
"project_name","M","{text}",,
"experimental_factor","X","{term, text}",,
"geo_loc_name","M","GAZ:{term}",,
"env_biome","M","ENVO:{term}",,
"env_feature","M","ENVO:{term}",,
"env_material","M","ENVO:{term}",,
"env_package","M","{term}","air",
"alt","M","{float} m","altitude","the altitude of the sample is the vertical distance between Earth's surface above sea level and the sampled position in the air"
"elev","C","{float} {unit}","elevation","the elevation of the sampling site as measured by the vertical distance from mean sea level"
"barometric_press","X","{float} {unit}","barometric pressure","force per unit area exerted against a surface by the weight of air above that surface"
"carb_dioxide","X","{float} {unit}","carbon dioxide","carbon dioxide (gas) amount or concentration at the time of sampling"
"carb_monoxide","X","{float} {unit}","carbon monoxide","carbon monoxide (gas) amount or concentration at the time of sampling"
"chem_administration","X","{term}; {timestamp}","chemical administration","list of chemical compounds administered to the host or site where sampling occurred, and when (e.g. antibiotics, N fertilizer, air filter); can include multiple compounds. For Chemical Entities of Biological Interest ontology (CHEBI) (v 111), http://purl.bioontology.org/ontology/CHEBI"
"humidity","X","{float} {unit}","humidity","amount of water vapour in the air, at the time of sampling"
"methane","X","{float} {unit}","methane","methane (gas) amount or concentration at the time of sampling"
"misc_param","X","{text};{float} {unit}","miscellaneous parameter","any other measurement performed or parameter collected, that is not listed here"
"organism_count","X","{text};{float} {unit}","organism count","total count of any organism per gram or volume of sample, should include name of organism followed by count; can include multiple organism counts"
"oxy_stat_samp","X","[aerobic|anaerobic]","oxygenation status of sample","oxygenation status of sample"
"oxygen","X","{float} {unit}","oxygen","oxygen (gas) amount or concentration at the time of sampling"
"perturbation","X","{text};{interval}","perturbation","type of perturbation, e.g. chemical administration, physical disturbance, etc., coupled with time that perturbation occurred; can include multiple perturbation types"
"pollutants","X","{text};{float} {unit}","pollutants","pollutant types and, amount or concentrations measured at the time of sampling; can report multiple pollutants by entering numeric values preceded by name of pollutant"
"resp_part_matter","X","{text};{float} {unit}","respirable particulate matter","concentration of substances that remain suspended in the air, and comprise mixtures of organic and inorganic substances (PM10 and PM2.5); can report multiple PM's by entering numeric values preceded by name of PM"
"samp_salinity","X","{float} {unit}","sample salinity","salinity of sample, i.e. measure of total salt concentration"
"samp_store_dur","X","{interval}","sample storage duration","duration for which sample was stored"
"samp_store_loc","X","{text}","sample storage location","location at which sample was stored, usually name of a specific freezer/room"
"samp_store_temp","X","{float} {unit}","sample storage temperature","temperature at which sample was stored, e.g. -80 degree Celsius"
"samp_vol_we_dna_ext","X","{float} {unit}","sample volume or weight for DNA extraction","volume (mL) or weight (g) of sample processed for DNA extraction"
"solar_irradiance","X","{float} {unit}","solar irradiance","the amount of solar energy that arrives at a specific area of a surface during a specific time interval"
"temp","X","{float} {unit}","temperature","temperature of the sample at time of sampling"
"ventilation_rate","X","{float} {unit}","ventilation rate","ventilation rate of the system in the sampled premises"
"ventilation_type","X","{text}","ventilation type","ventilation system used in the sampled premises"
"volatile_org_comp","X","{text};{float} {unit}","volatile organic compounds","concentration of carbon-based chemicals that easily evaporate at room temperature; can report multiple volatile organic compounds by entering numeric values preceded by name of compound"
"wind_direction","X","{text}","wind direction","wind direction is the direction from which a wind originates"
"wind_speed","X","{float} {unit}","wind speed","speed of wind measured at the time of sampling"
