"index","Requirement","Format","Term","Description"
"sample_name","M","{text}",,
"taxon_id","M","{integer}",,
"scientific_name","M","{text}",,
"host_subject_id","M","{text}",,
"description","M","{text}",,
"physical_specimen_location","M","{text}",,
"physical_specimen_remaining","M","{boolean}",,
"collection_timestamp","M","yyyy-mm-dd hh:mm",,
"latitude","M","{decimal degrees}",,
"longitude","M","{decimal degrees}",,
"investigation_type","M","{term}","metagenome",
"project_name","M","{text}",,
"experimental_factor","X","{term, text}",,
"geo_loc_name","M","GAZ:{term}",,
"env_biome","M","ENVO:{term}",,
"env_feature","M","ENVO:{term}",,
"env_material","M","ENVO:{term}",,
"env_package","M","{term}","soil",
"alt","C","{float} m","altitude","the altitude of the sample is the vertical distance between Earth's surface above sea level and the sampled position in the air"
"depth","M","{float} m","depth","depth is defined as the vertical distance below local surface, e.g. for sediment or soil samples depth is measured from sediment or soil surface, respectivly. Depth can be reported as an interval for subsurface samples"
"elev","M","{float} {unit}","elevation","the elevation of the sampling site as measured by the vertical distance from mean sea level"
"cur_land_use","X","[cities|farmstead|industrial areas|roads/railroads|rock|sand|gravel|mudflats|salt flats|badlands|permanent snow or ice|saline seeps|mines/quarries|oil waste areas|small grains|row crops|vegetable crops|horticultural plants (e.g. tulips)|marshlands (grass,sedges,rushes)|tundra (mosses,lichens)|rangeland|pastureland (grasslands used for livestock grazing)|hayland|meadows (grasses,alfalfa,fescue,bromegrass,timothy)|shrub land (e.g. mesquite,sage-brush,creosote bush,shrub oak,eucalyptus)|successional shrub land (tree saplings,hazels,sumacs,chokecherry,shrub dogwoods,blackberries)|shrub crops (blueberries,nursery ornamentals,filberts)|vine crops (grapes)|conifers (e.g. pine,spruce,fir,cypress)|hardwoods (e.g. oak,hickory,elm,aspen)|intermixed hardwood and conifers|tropical (e.g. mangrove,palms)|rainforest (evergreen forest receiving >406 cm annual rainfall)|swamp (permanent or semi-permanent water body dominated by woody plants)|crop trees (nuts,fruit,christmas trees,nursery trees)]","current land use","present state of sample site"
"cur_vegetation","X","{text}","current vegetation","vegetation classification from one or more standard classification systems, or agricultural crop"
"cur_vegetation_meth","X","{PMID|DOI|URL}","current vegetation method","reference or method used in vegetation classification "
"previous_land_use","X","{text};{timestamp}","history/previous land use","previous land use and dates"
"previous_land_use_meth","X","{PMID|DOI|URL}","history/previous land use method","reference or method used in determining previous land use and dates"
"crop_rotation","X","{boolean};Rn/{timestamp}/{period}","history/crop rotation","whether or not crop is rotated, and if yes, rotation schedule"
"agrochem_addition","X","{text};{float} {unit};{timestamp}","history/agrochemical additions","addition of fertilizers, pesticides, etc. - amount and time of applications"
"tillage","X","[drill|cutting disc|ridge till|strip tillage|zonal tillage|chisel|tined|mouldboard|disc plough]","history/tillage","note method(s) used for tilling"
"fire","X","{timestamp}","history/fire","historical and/or physical evidence of fire"
"flooding","X","{timestamp}","history/flooding","historical and/or physical evidence of flooding"
"extreme_event","X","{timestamp}","history/extreme events","unusual physical events that may have affected microbial populations"
"horizon","X","[O horizon|A horizon|E horizon|B horizon|C horizon|R layer|Permafrost]","horizon","specific layer in the land area which measures parallel to the soil surface and possesses physical characteristics which differ from the layers above and beneath"
"horizon_meth","X","{PMID|DOI|URL}","horizon method","reference or method used in determining the horizon"
