"index","Requirement","Format","Term","Descrption"
"sample_name","M","{text}",,
"taxon_id","M","{integer}",,
"scientific_name","M","{text}",,
"host_subject_id","M","{text}",,
"description","M","{text}",,
"physical_specimen_location","M","{text}",,
"physical_specimen_remaining","M","{boolean}",,
"collection_timestamp","M","yyyy-mm-dd hh:mm",,
"latitude","M","{decimal degrees}",,
"longitude","M","{decimal degrees}",,
"investigation_type","M","{term}","metagenome",
"project_name","M","{text}",,
"experimental_factor","X","{term, text}",,
"geo_loc_name","M","GAZ:{term}",,
"env_biome","M","ENVO:{term}",,
"env_feature","M","ENVO:{term}",,
"env_material","M","ENVO:{term}",,
"env_package","M","{term}","soil",
"alt","C","{float} m",,
"depth","M","{float} m","depth","depth is defined as the vertical distance below local surface, e.g. for sediment or soil samples depth is measured from sediment or soil surface, respectivly. Depth can be reported as an interval for subsurface samples"
"elev","M","{float} {unit}","alkalinity","alkalinity, the ability of a solution to neutralize acids to the equivalence point of carbonate or bicarbonate"
"cur_land_use","X","[cities|farmstead|industrial areas|roads/railroads|rock|sand|gravel|mudflats|salt flats|badlands|permanent snow or ice|saline seeps|mines/quarries|oil waste areas|small grains|row crops|vegetable crops|horticultural plants (e.g. tulips)|marshlands (grass,sedges,rushes)|tundra (mosses,lichens)|rangeland|pastureland (grasslands used for livestock grazing)|hayland|meadows (grasses,alfalfa,fescue,bromegrass,timothy)|shrub land (e.g. mesquite,sage-brush,creosote bush,shrub oak,eucalyptus)|successional shrub land (tree saplings,hazels,sumacs,chokecherry,shrub dogwoods,blackberries)|shrub crops (blueberries,nursery ornamentals,filberts)|vine crops (grapes)|conifers (e.g. pine,spruce,fir,cypress)|hardwoods (e.g. oak,hickory,elm,aspen)|intermixed hardwood and conifers|tropical (e.g. mangrove,palms)|rainforest (evergreen forest receiving >406 cm annual rainfall)|swamp (permanent or semi-permanent water body dominated by woody plants)|crop trees (nuts,fruit,christmas trees,nursery trees)]","biochemical oxygen demand","a measure of the relative oxygen-depletion effect of a waste contaminant"
"cur_vegetation","X","{text}","chemical administration","list of chemical compounds administered to the host or site where sampling occurred, and when (e.g. antibiotics, N fertilizer, air filter); can include multiple compounds. For Chemical Entities of Biological Interest ontology (CHEBI) (v 111), http://purl.bioontology.org/ontology/CHEBI"
"cur_vegetation_meth","X","{PMID|DOI|URL}","chemical oxygen demand","a measure of the relative oxygen-depletion effect of a waste contaminant"
"previous_land_use","X","{text};{timestamp}","efficiency percent","percentage of volatile solids removed from the anaerobic digestor"
"previous_land_use_meth","X","{PMID|DOI|URL}","emulsions","amount or concentration of substances such as paints, adhesives, mayonnaise, hair colorants, emulsified oils, etc.; can include multiple emulsion types"
"crop_rotation","X","{boolean};Rn/{timestamp}/{period}","gaseous substances","amount or concentration of substances such as hydrogen sulfide, carbon dioxide, methane, etc.; can include multiple substances"
"agrochem_addition","X","{text};{float} {unit};{timestamp}","industrial effluent percent","percentage of industrial effluents received by wastewater treatment plant"
"tillage","X","[drill|cutting disc|ridge till|strip tillage|zonal tillage|chisel|tined|mouldboard|disc plough]","inorganic particles","concentration of particles such as sand, grit, metal particles, ceramics, etc.; can include multiple particles"
"fire","X","{timestamp}","miscellaneous parameter","any other measurement performed or parameter collected, that is not listed here"
"flooding","X","{timestamp}","nitrate","concentration of nitrate"
