Method;Unit;Sample 1;Sample 2;Sample 3;Sample 4;Sample 5;Sample 6;Sample 7;Sample 8;Sample 9;Sample 10;Sample 11
Total acidity;mg CaCO3/L;7.40;3.17;5.26;5.26;4.21;3.15;4.21;3.15;3.15;4.21;4.21
Total alcalinity;mg CaCO3/L;2;30.2;23.9;14.6;22.9;9.36;22.9;10.4;14.6;20.8;20.8
Dissolved aluminum;mg Al/L;0.130;0.190;0.040;0.120;0.150;0.090;0.110;0.270;0.110;0.130;0.090
Total aluminum;mg Al/L;0.165;2.60;3.42;4.94;4.76;0.256;3.67;0.431;2.82;3.43;3.66
Total antimony;mg Sb/L;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005
Total arsenic;mg As/L;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01
Dissolved barium;mg Ba/L;0.030;0.053;0.006;0.006;0.006;0.006;0.006;0.025;0.006;0.006;0.006
Total barium;mg Ba/L;0.006;0.061;0.063;0.073;0.059;0.044;0.057;0.051;0.045;0.062;0.049
Dissolved beryllium;mg Be/L;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004
Total beryllium;mg Be/L;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004
Dissolved bismuth;mg Bi/L;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03
Total bismuth;mg Bi/L;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03
Dissolved boron;mg B/L;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02
Total boron;mg B/L;0.02;0.02;0.02;0.08;0.03;0.02;0.03;0.02;0.02;0.03;0.02
Dissolved cadmium;mg Cd/L;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001
Total cadmium;mg Cd/L;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001
Dissolved calcium;mg Ca/L;0.18;7.44;5.98;2.24;5.65;2.09;5.20;0.85;3.90;4.34;4.31
Total calcium;mg Ca/L;0.22;11.3;8.52;4.87;7.54;2.39;7.37;1.19;5.74;6.70;6.47
Dissolved lead;mg Pb/L;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01
Total lead;mg Pb/L;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01
Free cyanide;mg CN-/L;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005
Total cyanide;mg CN-/L;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01
Cyanide WAD;mg CN-/L;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01
Chloride;mg Cl-/L;2;2.56;2.41;2;2.40;2;2.24;2;2.02;2.04;2.05
Dissolved cobalt;mg Co/L;0.009;0.009;0.009;0.009;0.009;0.009;0.009;0.009;0.009;0.009;0.009
Total cobalt;mg Co/L;0.009;0.009;0.009;0.009;0.009;0.009;0.009;0.009;0.009;0.009;0.009
Dissolved copper;mg Cu/L;0.004;0.009;0.007;0.005;0.003;0.003;0.003;0.003;0.004;0.003;0.003
Total copper;mg Cu/L;0.003;0.009;0.005;0.006;0.008;0.003;0.005;0.003;0.004;0.003;0.005
Electric conductivity;µS/cm;12.3;79.6;63.8;41.7;63.5;26.1;62.3;23.7;51.3;57.0;54.7
Real color;mg Pt/L;5;5;75;50;56;28;40;55;65;40;64
True color;mg Pt/L;5;5;75;50;56;28;40;55;65;40;64
Dissolved chrome;mg Cr/L;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01
Hexavalent chrome;mg Cr6+/L;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01
Total chrome;mg Cr/L;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01
Trivalent chrome;mg Cr3+/L;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01
Biochemical oxygen demand;mg O2/L;2;2;2;2;2;2;2;2;2;2;2
Chemical oxygen demand;mg O2/L;30.1;27.8;25.4;26.0;15;20.9;35.5;21.5;15;15;17.0
Dissolved scandium;mg Sc/L;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01
Total scandium;mg Sc/L;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01
Dissolved tin;mg Sn/L;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05
